PopulationID,PopulationName,num_euploid,num_aneuploid_100,num_aneuploid_90,num_aneuploid_80,num_aneuploid_70,num_aneuploid_60,num_aneuploid_50,num_aneuploid_40,num_aneuploid_30,num_aneuploid_29,num_aneuploid_28,num_aneuploid_27,num_aneuploid_26,num_aneuploid_25,num_aneuploid_24,num_aneuploid_23,num_aneuploid_22,num_aneuploid_21,num_aneuploid_20,num_aneuploid_19,num_aneuploid_18,num_aneuploid_17,num_aneuploid_16,num_aneuploid_15,num_aneuploid_14,num_aneuploid_13,num_aneuploid_12,num_aneuploid_11,num_aneuploid_10,num_aneuploid_09,num_aneuploid_08,num_aneuploid_07,num_aneuploid_06,num_aneuploid_05,num_aneuploid_04,num_aneuploid_03,num_aneuploid_02,num_aneuploid_01
1,Population 1,0,4088,0,499,0,0,0,0,1033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,780,780,780,780,780,780,780,780
2,Population 2,0,4088,0,499,0,0,0,0,1033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,892,892,892,891,891,891,891
3,Population 3,0,4088,0,499,0,0,0,0,1033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1040,1040,1040,1040,1040,1040
4,Population 4,0,4088,0,499,0,0,0,0,1033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1248,1248,1248,1248,1248
5,Population 5,0,4088,0,499,0,0,0,0,1033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1560,1560,1560,1560
6,Population 6,0,4088,0,499,0,0,0,0,1033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2080,2080,2080
7,Population 7,0,4088,0,499,0,0,0,0,1033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3120,3120
