PopulationID,Population_name,prop_euploid,prop_aneuploid_100,prop_aneuploid_90,prop_aneuploid_80,prop_aneuploid_70,prop_aneuploid_60,prop_aneuploid_50,prop_aneuploid_40,prop_aneuploid_30,prop_aneuploid_20,prop_aneuploid_10
1,Population 1,0.6,0.3,0,0.04,0,0,0,0,0.06,0,0
2,Population 2,0.5,0.3,0,0.05,0,0,0,0,0.15,0,0
