PopulationID,Population_name,prop_euploid,prop_aneuploid_100,prop_aneuploid_90,prop_aneuploid_80,prop_aneuploid_70,prop_aneuploid_60,prop_aneuploid_50,prop_aneuploid_40,prop_aneuploid_30,prop_aneuploid_20,prop_aneuploid_10
11,Population 11,0.1,0.3,0,0,0,0.1,0,0,0.5,0,0
12,Population 12,0.2,0.3,0,0,0,0.1,0,0,0.4,0,0
13,Population 13,0.3,0.3,0,0,0,0.1,0,0,0.3,0,0
14,Population 14,0.4,0.3,0,0,0,0.1,0,0,0.2,0,0
15,Population 15,0.5,0.3,0,0,0,0.1,0,0,0.1,0,0
